OBJECTID	WheatYield	Wheatbyprod	WheatCRep	RapsYield	RapsByprod	RapsCRep	DeltaC	DeltaCO2	DeltaCPetersen	CO2Lossha	CO2Pix
185710	43,32874828	655,823934	1156,025103	31,5	877,28256	1122,745104	33,27999915	122,0266636	3,327999915	12,20266636	305,0666589
238617	40,30261348	610,0203576	1094,493191	29,3	816,012032	1049,862589	44,6306024	163,6455421	4,46306024	16,36455421	409,1138553
168563	43,32874828	655,823934	1156,025103	31,5	877,28256	1122,745104	33,27999915	122,0266636	3,327999915	12,20266636	305,0666589
191687	37,27647868	564,2167813	1032,961279	27,1	754,741504	976,9800736	55,98120564	205,2644207	5,598120564	20,52644207	513,1610517
237303	37,00137552	560,0528199	1027,367469	26,9	749,171456	970,3543904	57,01307874	209,0479554	5,701307874	20,90479554	522,6198884
152279	31,36176066	474,6916093	912,6943604	22,8	634,985472	834,5278848	78,16647558	286,6104105	7,816647558	28,66104105	716,5260262
212573	37,27647868	564,2167813	1032,961279	27,1	754,741504	976,9800736	55,98120564	205,2644207	5,598120564	20,52644207	513,1610517
18127	36,31361761	549,6429161	1013,382944	26,4	735,246336	953,7901824	59,59276127	218,5067913	5,959276127	21,85067913	546,2669783
98531	33,42503439	505,9213205	954,6479368	24,3	676,760832	884,2205088	70,42742797	258,2339026	7,042742797	25,82339026	645,5847564
236442	41,26547455	624,5942228	1114,071527	30	835,5072	1073,05248	41,01904676	150,4031715	4,101904676	15,04031715	376,0079287
91075	33,42503439	505,9213205	954,6479368	24,3	676,760832	884,2205088	70,42742797	258,2339026	7,042742797	25,82339026	645,5847564
228874	42,50343879	643,3320495	1139,243673	30,9	860,572416	1102,868054	36,37561824	133,3772669	3,637561824	13,33772669	333,4431672
404066	49,10591472	743,2671252	1273,495117	35,7	994,253568	1261,884451	11,61066576	42,57244112	1,161066576	4,257244112	106,4311028
131363	43,32874828	655,823934	1156,025103	31,5	877,28256	1122,745104	33,27999915	122,0266636	3,327999915	12,20266636	305,0666589
150047	31,36176066	474,6916093	912,6943604	22,8	634,985472	834,5278848	78,16647558	286,6104105	7,816647558	28,66104105	716,5260262
218613	27,78541953	420,56011	839,974828	20,2	562,574848	748,3940032	91,58082481	335,7963576	9,158082481	33,57963576	839,4908941
234157	40,30261348	610,0203576	1094,493191	29,3	816,012032	1049,862589	44,6306024	163,6455421	4,46306024	16,36455421	409,1138553
